research_area_id,member_id,area,normalized_area,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
rea_d21d9083d6,mem_bd2c4a5235,more information lab website: gruberlab. org,more information lab website gruberlab org,7,permissive_only,no,yes,yes
rea_29a4480d06,mem_c57a8f39f9,he studies the interactions between the nervous,he studies the interactions between the nervous,1,both,yes,yes,no
rea_3fe442b06e,mem_c57a8f39f9,cardiovascular systems,cardiovascular systems,2,both,yes,yes,no
rea_2b5f1d67aa,mem_c57a8f39f9,has driven the development of enhanced monitoring,has driven the development of enhanced monitoring,4,both,yes,yes,no
rea_c79bf62a93,mem_c57a8f39f9,therapeutics for neurological,therapeutics for neurological,5,both,yes,yes,no
rea_ef26b396be,mem_c57a8f39f9,biomedical engineering,biomedical engineering,6,both,yes,yes,no
rea_8cd1225884,mem_c57a8f39f9,physiology & pharmacology,physiology pharmacology,7,both,yes,yes,no
rea_2be52fd027,mem_c57a8f39f9,pins prize in neuromodulation from science,pins prize in neuromodulation from science,8,both,yes,yes,no
rea_d122988455,mem_c57a8f39f9,brain canada leader,brain canada leader,9,both,yes,yes,no
rea_64510b1013,mem_c57a8f39f9,leads a graduate-level course on commercializing medical neuro-technologies,leads a graduate level course on commercializing medical neuro technologies,10,both,yes,yes,no
rea_16394d502d,mem_c57a8f39f9,neurostimulation hardware,neurostimulation hardware,11,both,yes,yes,no
rea_3cab46333f,mem_c57a8f39f9,brain computer interfaces,brain computer interfaces,12,both,yes,yes,no
rea_070c985b1e,mem_529c362d70,precision pharmacotherapy,precision pharmacotherapy,1,both,yes,yes,no
rea_d2de051701,mem_529c362d70,adverse drug reactions,adverse drug reactions,2,both,yes,yes,no
rea_6e7f9080a2,mem_529c362d70,translational pharmacotherapy,translational pharmacotherapy,3,both,yes,yes,no
rea_993c0686cb,mem_529c362d70,population therapeutics and health outcomes,population therapeutics and health outcomes,4,both,yes,yes,no
rea_25dafe9a51,mem_529c362d70,scholarship of teaching and learning,scholarship of teaching and learning,6,both,yes,yes,no
rea_5966274075,mem_529c362d70,population therapeutics,population therapeutics,11,both,yes,yes,no
rea_a2088ed9b1,mem_529c362d70,health outcomes,health outcomes,12,both,yes,yes,no
rea_3a08634e4d,mem_529c362d70,maruf investigated the connections between inflammation,maruf investigated the connections between inflammation,19,both,yes,yes,no
rea_385440cf70,mem_529c362d70,xenobiotic-induced liver injury,xenobiotic induced liver injury,20,both,yes,yes,no
rea_438ede3146,mem_529c362d70,roles of carbonyl metabolizing enzymes in health,roles of carbonyl metabolizing enzymes in health,21,both,yes,yes,no
rea_01740f7910,mem_529c362d70,research pharmacogenomics,research pharmacogenomics,5,permissive_only,no,yes,yes
rea_7a44ef773a,mem_5f5dfc3246,clinical outcomes,clinical outcomes,0,both,yes,yes,no
rea_51cd9cecab,mem_5f5dfc3246,mood disorders,mood disorders,1,both,yes,yes,no
rea_29cb645278,mem_5f5dfc3246,anxiety disorders,anxiety disorders,2,both,yes,yes,no
rea_526615c13a,mem_5f5dfc3246,attention deficit disorder,attention deficit disorder,3,both,yes,yes,no
rea_625daba341,mem_9f51021d60,biochemical pathways,biochemical pathways,1,both,yes,yes,no
rea_58b6866beb,mem_9f51021d60,physiological processes,physiological processes,2,both,yes,yes,no
rea_93704ff8b0,mem_9f51021d60,bioinformatics,bioinformatics,3,both,yes,yes,no
rea_027ad24808,mem_9f51021d60,semi-targeted lipidomics,semi targeted lipidomics,4,both,yes,yes,no
rea_c98ca968bf,mem_9f51021d60,lipid differences amongst control,lipid differences amongst control,5,both,yes,yes,no
rea_9ed4b8f9d4,mem_9f51021d60,lipidomics (analytical methods using chromatography and mass spectrometry,lipidomics analytical methods using chromatography and mass spectrometry,10,both,yes,yes,no
rea_879c514983,mem_9f51021d60,software development,software development,12,both,yes,yes,no
rea_e3df89343b,mem_9f51021d60,microbial lipidomics,microbial lipidomics,14,both,yes,yes,no
rea_a04875de57,mem_9f51021d60,lipidomics of extracellular vesicles,lipidomics of extracellular vesicles,15,both,yes,yes,no
rea_e21306b0bd,mem_9f51021d60,lipids involved in neurodegeneration and aging,lipids involved in neurodegeneration and aging,16,both,yes,yes,no
rea_d565159e56,mem_9f51021d60,exposomics - environmental lipidomics,exposomics environmental lipidomics,17,both,yes,yes,no
rea_c8d3f6f915,mem_9f51021d60,lipidomics (analytical methods,lipidomics analytical methods,30,both,yes,yes,no
rea_9dd90beebd,mem_9f51021d60,alzheimer disease,alzheimer disease,39,both,yes,yes,no
rea_ed21ab9603,mem_9f51021d60,role of lipid species in human metabolism,role of lipid species in human metabolism,40,both,yes,yes,no
rea_e217aed018,mem_9f51021d60,intercellular communication,intercellular communication,41,both,yes,yes,no
rea_e53e64b316,mem_9f51021d60,lipid species in human metabolism,lipid species in human metabolism,42,both,yes,yes,no
rea_e2ff236527,mem_9f51021d60,"mass spectrometry, database creation, software development, data sciences)",mass spectrometry database creation software development data sciences,2,permissive_only,no,yes,yes
rea_0c74934cbf,mem_9f51021d60,they are involved in disease development,they are involved in disease development,9,permissive_only,no,yes,yes
rea_75c68c4f73,mem_9f51021d60,human diseases,human diseases,12,permissive_only,no,yes,yes
rea_e81455811b,mem_9f51021d60,please contact me for more information,please contact me for more information,13,permissive_only,no,yes,yes
rea_e1450eda4d,mem_9f51021d60,health and life,health and life,14,permissive_only,no,yes,yes
rea_88d65be225,mem_9caecf64a4,brain stimulation,brain stimulation,0,both,yes,yes,no
rea_53a405b789,mem_9caecf64a4,mental health,mental health,1,both,yes,yes,no
rea_b658015a33,mem_9caecf64a4,neurodevelopment disorders,neurodevelopment disorders,2,both,yes,yes,no
rea_cb7da50f3b,mem_9caecf64a4,neuroimaging,neuroimaging,3,both,yes,yes,no
rea_31a1ff280c,mem_9caecf64a4,epilepsy,epilepsy,4,both,yes,yes,no
rea_166e6c86e1,mem_9caecf64a4,multiple sclerosis,multiple sclerosis,5,both,yes,yes,no
rea_fa9e47465d,mem_9caecf64a4,clinical outcomes,clinical outcomes,6,both,yes,yes,no
rea_7d2fbf0879,mem_9caecf64a4,stroke,stroke,8,both,yes,yes,no
rea_6df184f99f,mem_9caecf64a4,depression,depression,9,both,yes,yes,no
rea_818c19cb4b,mem_9caecf64a4,individuals with neurological conditions,individuals with neurological conditions,10,both,yes,yes,no
rea_410a86c109,mem_9caecf64a4,development of psychiatric disorders in children,development of psychiatric disorders in children,11,both,yes,yes,no
rea_9cc9df7015,mem_9461efbef5,youth mental health,youth mental health,0,both,yes,yes,no
rea_b7135984e9,mem_9461efbef5,neurodevelopmental and learning difficulties,neurodevelopmental and learning difficulties,1,both,yes,yes,no
rea_090e886515,mem_9461efbef5,vulnerable family coping,vulnerable family coping,2,both,yes,yes,no
rea_7cd6082a3f,mem_9461efbef5,school-based mental health,school based mental health,3,both,yes,yes,no
rea_bc53e59bdd,mem_b85b93eb26,inflammation,inflammation,0,both,yes,yes,no
rea_84a5e7f72a,mem_b85b93eb26,stroke,stroke,1,both,yes,yes,no
rea_7667b10c53,mem_b85b93eb26,migraine,migraine,2,both,yes,yes,no
rea_61e3e92940,mem_b85b93eb26,inflammation in neurological diseases of childhood,inflammation in neurological diseases of childhood,4,both,yes,yes,no
rea_0e0efe49da,mem_b85b93eb26,pediatric neurology,pediatric neurology,15,both,yes,yes,no
rea_62652849e7,mem_b85b93eb26,they account for enormous health care costs,they account for enormous health care costs,4,permissive_only,no,yes,yes
rea_b966297a7e,mem_ab3c7cd459,mental health,mental health,0,both,yes,yes,no
rea_b148648966,mem_ab3c7cd459,stress,stress,1,both,yes,yes,no
rea_9c4ddfe0d2,mem_ab3c7cd459,bipolar disorder,bipolar disorder,2,both,yes,yes,no
rea_873e531e72,mem_ab3c7cd459,mood disorders,mood disorders,3,both,yes,yes,no
rea_d0d9447703,mem_ab3c7cd459,such as major depressive disorder,such as major depressive disorder,12,both,yes,yes,no
rea_94f1fb464b,mem_67336e1dbb,brain injury,brain injury,0,both,yes,yes,no
rea_416bddc0f8,mem_67336e1dbb,inflammation,inflammation,1,both,yes,yes,no
rea_10ec6db414,mem_67336e1dbb,molecular mechanisms,molecular mechanisms,2,both,yes,yes,no
rea_0a07b15148,mem_67336e1dbb,stroke,stroke,3,both,yes,yes,no
rea_04104cb6b0,mem_67336e1dbb,tissue regeneration,tissue regeneration,4,both,yes,yes,no
rea_77fa73bdf6,mem_67336e1dbb,repetitive brain injuries,repetitive brain injuries,5,both,yes,yes,no
rea_ebd09631c8,mem_67336e1dbb,molecular biology,molecular biology,7,both,yes,yes,no
rea_0270ed03a5,mem_67336e1dbb,chronic time points following injury,chronic time points following injury,8,both,yes,yes,no
rea_661f71e095,mem_67336e1dbb,mild traumatic brain injury (concussion) in adolescence,mild traumatic brain injury concussion in adolescence,9,both,yes,yes,no
rea_f083f7fc95,mem_67336e1dbb,single cell rna sequencing,single cell rna sequencing,10,both,yes,yes,no
rea_0acf234118,mem_67336e1dbb,inflammatory cytokine panels,inflammatory cytokine panels,11,both,yes,yes,no
rea_780af2bcfb,mem_67336e1dbb,harmful neuroinflammation,harmful neuroinflammation,12,both,yes,yes,no
rea_1b1deff48f,mem_67336e1dbb,optically-controlled genetically encoded proteins,optically controlled genetically encoded proteins,13,both,yes,yes,no
rea_cf5d97fe0d,mem_67336e1dbb,chronic neuroinflammatory pathologies,chronic neuroinflammatory pathologies,14,both,yes,yes,no
rea_aa31d2aeb6,mem_fc88669608,functional mri,functional mri,0,both,yes,yes,no
rea_552954cbc3,mem_fc88669608,neuroimaging,neuroimaging,1,both,yes,yes,no
rea_583a3ce9ed,mem_fc88669608,mri quality assurance,mri quality assurance,2,both,yes,yes,no
rea_8a82370048,mem_fc88669608,mri in radiation therapy,mri in radiation therapy,3,both,yes,yes,no
rea_39c5d05a19,mem_fc88669608,medical imaging,medical imaging,4,both,yes,yes,no
rea_40093b6594,mem_fc88669608,image processing,image processing,5,both,yes,yes,no
rea_0f49a2e562,mem_fc88669608,functional magnetic resonance imaging,functional magnetic resonance imaging,7,both,yes,yes,no
rea_93919c9476,mem_fc88669608,developing mri acquisition,developing mri acquisition,8,both,yes,yes,no
rea_616ca535db,mem_fc88669608,processing method,processing method,9,both,yes,yes,no
rea_c10f5e187e,mem_fc88669608,applications in cancer treatment,applications in cancer treatment,10,both,yes,yes,no
rea_8c609eebc9,mem_fc88669608,functional mri in oncology (diffusion,functional mri in oncology diffusion,11,both,yes,yes,no
rea_b5c56285b6,mem_fc88669608,"functional mri in oncology (diffusion, perfusion, spectroscopy)",functional mri in oncology diffusion perfusion spectroscopy,5,permissive_only,no,yes,yes
rea_2ae01f8d7f,mem_29212b7883,stroke,stroke,0,both,yes,yes,no
rea_fe4a19c8eb,mem_29212b7883,additional year in endovascular neurosurgery with dr,additional year in endovascular neurosurgery with dr,4,both,yes,yes,no
rea_23ccfb2c93,mem_feaca2a8a0,proteins associated with the diseases,proteins associated with the diseases,0,both,yes,yes,no
rea_d20fe14b35,mem_feaca2a8a0,parkinson disease,parkinson disease,1,both,yes,yes,no
rea_cf521f45ba,mem_feaca2a8a0,endoplasmic reticulum (er) stress,endoplasmic reticulum er stress,4,both,yes,yes,no
rea_f507b55b60,mem_feaca2a8a0,implications on neurodegeneration,implications on neurodegeneration,5,both,yes,yes,no
rea_5f00fb84f1,mem_8bfbd806c9,alzheimer disease,alzheimer disease,0,both,yes,yes,no
rea_a4f1f3ffc2,mem_8bfbd806c9,related dementias,related dementias,1,both,yes,yes,no
rea_e5e47b0539,mem_8bfbd806c9,genetic disorders,genetic disorders,2,both,yes,yes,no
rea_cb64cab252,mem_8bfbd806c9,neurodevelopmental disorders,neurodevelopmental disorders,4,both,yes,yes,no
rea_5ee13ba1c5,mem_8bfbd806c9,rare diseases,rare diseases,5,both,yes,yes,no
rea_3e318d60fb,mem_8bfbd806c9,"genetic disorders, genomics, neurodevelopmental disorders, rare diseases",genetic disorders genomics neurodevelopmental disorders rare diseases,5,permissive_only,no,yes,yes
rea_2cd7576917,mem_db95c2910e,digital health technologies,digital health technologies,0,both,yes,yes,no
rea_644480a14b,mem_db95c2910e,tissue engineering approaches for disease modeling,tissue engineering approaches for disease modeling,2,both,yes,yes,no
rea_f45fa0ef46,mem_db95c2910e,drug discovery,drug discovery,3,both,yes,yes,no
rea_4312c972e3,mem_db95c2910e,recognitions during his research career,recognitions during his research career,26,both,yes,yes,no
rea_711a503fa1,mem_db95c2910e,"colton medal for research excellence""",colton medal for research excellence,27,both,yes,yes,no
rea_6d435c4dbe,mem_db95c2910e,book chapters flexible electronic devices for biomedical applications,book chapters flexible electronic devices for biomedical applications,28,both,yes,yes,no
rea_a03bb21b70,mem_db95c2910e,chronic disease,chronic disease,3,permissive_only,no,yes,yes
rea_6b5f2bb64d,mem_d4ec51610b,mental health needs of autistic girls,mental health needs of autistic girls,0,both,yes,yes,no
rea_db7007736f,mem_d4ec51610b,autism,autism,1,both,yes,yes,no
rea_1c3f5dbcc1,mem_d4ec51610b,neurodevelopmental conditions,neurodevelopmental conditions,2,both,yes,yes,no
rea_bc937e83bc,mem_d4ec51610b,mental health,mental health,3,both,yes,yes,no
rea_c3ec441a25,mem_d4ec51610b,pre-doctoral residency at holland bloorview kids rehabilitation hospital,pre doctoral residency at holland bloorview kids rehabilitation hospital,12,both,yes,yes,no
rea_04a3d93f5e,mem_d4ec51610b,mental health (camh),mental health camh,13,both,yes,yes,no
rea_361865aa9b,mem_d2301d7aac,mental health,mental health,0,both,yes,yes,no
rea_55709b8962,mem_d2301d7aac,clinical science,clinical science,2,both,yes,yes,no
rea_056b463ae7,mem_d2301d7aac,clinical reasoning,clinical reasoning,3,both,yes,yes,no
rea_2262a7ad3e,mem_d2301d7aac,functional magnetic resonance imaging,functional magnetic resonance imaging,5,both,yes,yes,no
rea_97e7c143c6,mem_d2301d7aac,histopathologic characterization of disease,histopathologic characterization of disease,6,both,yes,yes,no
rea_8f1a54d436,mem_f731c39857,interrogating the spatiotemporal heterogeneity in brain tumours,interrogating the spatiotemporal heterogeneity in brain tumours,0,both,yes,yes,no
rea_86b70ec856,mem_f731c39857,temporal epigenetic remodelling,temporal epigenetic remodelling,1,both,yes,yes,no
rea_dda25ba31c,mem_f731c39857,functional factors in disease progression,functional factors in disease progression,2,both,yes,yes,no
rea_3a76de0104,mem_f731c39857,expertise in both wet lab brain tumour biology,expertise in both wet lab brain tumour biology,12,both,yes,yes,no
rea_99e8763677,mem_f731c39857,takes a interdisciplinary approach to brain tumour biology,takes a interdisciplinary approach to brain tumour biology,13,both,yes,yes,no
rea_e169e2975e,mem_ccdb9fb0c5,depression,depression,1,both,yes,yes,no
rea_a363cdb34a,mem_ccdb9fb0c5,neuroimaging,neuroimaging,2,both,yes,yes,no
rea_666855b866,mem_ccdb9fb0c5,network neuroscience,network neuroscience,8,both,yes,yes,no
rea_16d75242bc,mem_ccdb9fb0c5,neurocognitive aging and plasticity,neurocognitive aging and plasticity,20,both,yes,yes,no
rea_c6fa247100,mem_ccdb9fb0c5,but individual differences influence disease trajectories,but individual differences influence disease trajectories,23,both,yes,yes,no
rea_9eebb2f204,mem_ccdb9fb0c5,treatment outcomes,treatment outcomes,24,both,yes,yes,no
rea_566ffb3bbc,mem_61c2300e70,clinical neurosciences,clinical neurosciences,0,both,yes,yes,no
rea_a1760f16f3,mem_61c2300e70,clinical interest in neuro-monitoring,clinical interest in neuro monitoring,1,both,yes,yes,no
rea_9f3405cb10,mem_61c2300e70,serves on numerous canadian blood services advisory committees,serves on numerous canadian blood services advisory committees,2,both,yes,yes,no
rea_aca560f5b1,mem_126bc39f5f,depression,depression,0,both,yes,yes,no
rea_0ed18c5ac5,mem_418a89fdc0,smooth muscle,smooth muscle,5,both,yes,yes,no
rea_8e8b381aae,mem_418a89fdc0,biomedical research,biomedical research,10,both,yes,yes,no
rea_af0ee09c7d,mem_418a89fdc0,stroke,stroke,11,both,yes,yes,no
rea_eee40cbf4a,mem_0f73a389b6,vascular imaging,vascular imaging,0,both,yes,yes,no
rea_157c24d863,mem_0f73a389b6,stroke,stroke,1,both,yes,yes,no
rea_f248655094,mem_945a42f165,bipolar disorder,bipolar disorder,0,both,yes,yes,no
rea_daa963a123,mem_945a42f165,epidemiology,epidemiology,1,both,yes,yes,no
rea_42d1675a13,mem_945a42f165,depression,depression,2,both,yes,yes,no
rea_c300bfb9c1,mem_41979986b6,behavioural addictions,behavioural addictions,0,both,yes,yes,no
rea_b3083faf2d,mem_41979986b6,concurrent disorders),concurrent disorders,1,both,yes,yes,no
rea_bf76768828,mem_41979986b6,sports betting,sports betting,2,both,yes,yes,no
rea_f30080cdaf,mem_41979986b6,depression,depression,6,both,yes,yes,no
rea_950dc1adff,mem_41979986b6,emotion dysregulation in four potentially addictive behaviors,emotion dysregulation in four potentially addictive behaviors,7,both,yes,yes,no
rea_ade268d210,mem_41979986b6,"mental health (i. e., concurrent disorders)",mental health i e concurrent disorders,1,permissive_only,no,yes,yes
rea_4bfd2e10f7,mem_41979986b6,"investigating the demographics, psychological characteristics, and gambling-related harms of in-play sports bettors",investigating the demographics psychological characteristics and gambling related harms of in play sports bettors,4,permissive_only,no,yes,yes
rea_678e199f60,mem_41979986b6,international journal of mental health and addiction,international journal of mental health and addiction,5,permissive_only,no,yes,yes
rea_5c0c8ff8c8,mem_41979986b6,contextual correlates of in-play sports betting,contextual correlates of in play sports betting,6,permissive_only,no,yes,yes
rea_5f5f771a1f,mem_41979986b6,t. . psychology of addictive behaviors,t psychology of addictive behaviors,7,permissive_only,no,yes,yes
rea_cf831639f7,mem_41979986b6,gambling-related harms of in-play sports bettors . vieira,gambling related harms of in play sports bettors vieira,8,permissive_only,no,yes,yes
rea_1f0629f06b,mem_41979986b6,s.. journal of behavioral addictions,s journal of behavioral addictions,9,permissive_only,no,yes,yes
rea_819cd82fcb,mem_41979986b6,gambling-related harms of in-play sports bettors,gambling related harms of in play sports bettors,10,permissive_only,no,yes,yes
rea_2e16f1be9a,mem_41979986b6,s. . international journal of mental health,s international journal of mental health,11,permissive_only,no,yes,yes
rea_53c00a19f0,mem_41979986b6,video gaming behaviors . kim,video gaming behaviors kim,12,permissive_only,no,yes,yes
rea_e2b8004e10,mem_41979986b6,video gaming behaviors,video gaming behaviors,13,permissive_only,no,yes,yes
rea_2e3e57e91e,mem_41979986b6,behavioural addictions . konkolÿ-thege,behavioural addictions konkol thege,14,permissive_only,no,yes,yes
rea_df454e4bc0,mem_41979986b6,substance use and mental health disorders: psychologists’ role in bridging the gap,substance use and mental health disorders psychologists role in bridging the gap,15,permissive_only,no,yes,yes
rea_f87d644bfa,mem_41979986b6,gambling disorder,gambling disorder,16,permissive_only,no,yes,yes
rea_d873a168d9,mem_41979986b6,comorbid behavioral addictions: demographic,comorbid behavioral addictions demographic,17,permissive_only,no,yes,yes
rea_cc7ca58779,mem_41979986b6,ontarians wagering far more on legal online casino games than on sports betting,ontarians wagering far more on legal online casino games than on sports betting,18,permissive_only,no,yes,yes
rea_d219454101,mem_41979986b6,are sports betting ads getting out of control in canada?,are sports betting ads getting out of control in canada,19,permissive_only,no,yes,yes
rea_657fbcfe6b,mem_4d14f5ed5f,movement disorders,movement disorders,0,both,yes,yes,no
rea_66ab12acca,mem_4d14f5ed5f,visually guided movements,visually guided movements,2,both,yes,yes,no
rea_3e359a0682,mem_3e0ef14a60,impact of trauma on children,impact of trauma on children,0,both,yes,yes,no
rea_ac4b8516c4,mem_3e0ef14a60,development of skill-based clinical competencies,development of skill based clinical competencies,1,both,yes,yes,no
rea_65de6aa7d6,mem_3e0ef14a60,child mental health,child mental health,2,both,yes,yes,no
rea_bf4c1494d4,mem_3e0ef14a60,gender-based violence,gender based violence,3,both,yes,yes,no
rea_ea79b145ff,mem_3e0ef14a60,trauma across the lifespan,trauma across the lifespan,4,both,yes,yes,no
rea_bb5ef7a24c,mem_3e0ef14a60,simulation-based learning,simulation based learning,5,both,yes,yes,no
rea_d8cc847c8a,mem_3e0ef14a60,simulation-based experiential learning,simulation based experiential learning,6,both,yes,yes,no
rea_9a1718361a,mem_3e0ef14a60,trauma-informed approaches to working with young people,trauma informed approaches to working with young people,18,both,yes,yes,no
rea_b421ae3a17,mem_3e0ef14a60,youth care work in therapeutic campus-based care settings,youth care work in therapeutic campus based care settings,19,both,yes,yes,no
rea_3ed6ed6c07,mem_3e0ef14a60,child development,child development,20,both,yes,yes,no
rea_f833a35787,mem_3e0ef14a60,"child mental health, gender-based violence",child mental health gender based violence,2,permissive_only,no,yes,yes
rea_58dccc5255,mem_3e0ef14a60,"trauma across the lifespan, simulation-based learning dr",trauma across the lifespan simulation based learning dr,3,permissive_only,no,yes,yes
rea_17d723b0e2,mem_3e0ef14a60,child protection responses to gender-based violence cases,child protection responses to gender based violence cases,4,permissive_only,no,yes,yes
rea_a9d0955a78,mem_3e0ef14a60,simulation-based experiential learning dr,simulation based experiential learning dr,5,permissive_only,no,yes,yes
rea_b0c0787805,mem_3e0ef14a60,"trauma across the lifespan, simulation-based learning",trauma across the lifespan simulation based learning,10,permissive_only,no,yes,yes
rea_1388657d84,mem_3e0ef14a60,"research child mental health, gender-based violence",research child mental health gender based violence,12,permissive_only,no,yes,yes
rea_1dcd13030f,mem_3e0ef14a60,child health,child health,13,permissive_only,no,yes,yes
rea_b1efabbc0c,mem_3e0ef14a60,health and life,health and life,14,permissive_only,no,yes,yes
rea_c451d49f04,mem_3e0ef14a60,collaborative development,collaborative development,16,permissive_only,no,yes,yes
rea_a34508cce2,mem_3e0ef14a60,survivor experience to enhance services,survivor experience to enhance services,17,permissive_only,no,yes,yes
rea_843ec78f8b,mem_3e0ef14a60,youth care work,youth care work,18,permissive_only,no,yes,yes
rea_13d33c019e,mem_3e0ef14a60,not soft: trauma,not soft trauma,20,permissive_only,no,yes,yes
rea_2021377c32,mem_3e0ef14a60,practice to address children’s mental health.. r,practice to address children s mental health r,21,permissive_only,no,yes,yes
rea_46101dc8dd,mem_3e0ef14a60,practice to address children’s mental health,practice to address children s mental health,22,permissive_only,no,yes,yes
rea_f491991068,mem_3e0ef14a60,new wood's homes research chair in children's mental health builds bridges to front lines,new wood s homes research chair in children s mental health builds bridges to front lines,23,permissive_only,no,yes,yes
rea_e2aafb1857,mem_e7de00f126,health promotion anne flynn,health promotion anne flynn,0,both,yes,yes,no
rea_3f9e24cbdb,mem_e7de00f126,alex senior's health centre,alex senior s health centre,1,both,yes,yes,no
rea_f769dddee7,mem_e7de00f126,movement program for senior citizens,movement program for senior citizens,2,both,yes,yes,no
rea_db6feaa4c2,mem_e7de00f126,health study group,health study group,3,both,yes,yes,no
rea_726c587139,mem_4fab7d2841,substrates on a cell,substrates on a cell,0,both,yes,yes,no
rea_71a3423dad,mem_4fab7d2841,inactivation of immune responses in inflammatory diseases,inactivation of immune responses in inflammatory diseases,2,both,yes,yes,no
rea_057efd4519,mem_4fab7d2841,hemopexin domain of matrix metalloproteinases in cell migration,hemopexin domain of matrix metalloproteinases in cell migration,6,both,yes,yes,no
rea_eebcb36d9b,mem_4fab7d2841,pain,pain,7,both,yes,yes,no
rea_cd386899c8,mem_4fab7d2841,chronic disease,chronic disease,2,permissive_only,no,yes,yes
rea_8a97059e05,mem_4fab7d2841,among the multitude of infiltrating immune cells,among the multitude of infiltrating immune cells,4,permissive_only,no,yes,yes
rea_aa02ce9af2,mem_4fab7d2841,resolution of inflammation during innate,resolution of inflammation during innate,5,permissive_only,no,yes,yes
rea_351bbb06a8,mem_4fab7d2841,activated by various cell products,activated by various cell products,6,permissive_only,no,yes,yes
rea_abb58e2dce,mem_0aa82264fe,schizophrenia,schizophrenia,0,both,yes,yes,no
rea_5910fc2850,mem_0aa82264fe,physical health care,physical health care,2,both,yes,yes,no
rea_e5fed4f297,mem_0aa82264fe,mitigating risk factors for poor mental health,mitigating risk factors for poor mental health,3,both,yes,yes,no
rea_de299f5358,mem_51d0744557,stroke,stroke,1,both,yes,yes,no
rea_138847ac7f,mem_51d0744557,neuropsychiatric sequelae,neuropsychiatric sequelae,3,both,yes,yes,no
rea_1d00041a34,mem_5484cb96e1,alzheimer disease,alzheimer disease,0,both,yes,yes,no
rea_a154763702,mem_5484cb96e1,more information associate member of hbi,more information associate member of hbi,1,permissive_only,no,yes,yes
rea_28bd9f57c6,mem_233f37a4ef,brain development,brain development,0,both,yes,yes,no
rea_34161c6eb7,mem_233f37a4ef,brain injury,brain injury,1,both,yes,yes,no
rea_bbcb116fea,mem_233f37a4ef,neurodevelopmental disorders,neurodevelopmental disorders,2,both,yes,yes,no
rea_8d3bbb2dfd,mem_233f37a4ef,neuroimaging,neuroimaging,3,both,yes,yes,no
rea_a6e05d82ac,mem_233f37a4ef,pain,pain,4,both,yes,yes,no
rea_d243d2041e,mem_233f37a4ef,ashley harris develops magnetic resonance imaging,ashley harris develops magnetic resonance imaging,18,both,yes,yes,no
