position_id,member_id,title,department,faculty,institution,affiliation_type,url,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
pos_baea1e10f3,mem_9461efbef5,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,4,both,yes,yes,no
pos_0a5a8b2169,mem_b85b93eb26,Clinical Assistant Professor,,,,,,Clinical Assistant Professor,0,both,yes,yes,no
pos_d52177abfa,mem_b85b93eb26,Cumming School of Medicine,Department of Clinical Neurosciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Clinical Neurosciences",1,both,yes,yes,no
pos_6cac9812b5,mem_b85b93eb26,Associate Member,,,,associate member,,Associate Member,2,both,yes,yes,no
pos_d3ee480955,mem_b85b93eb26,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_5fe8225a06,mem_ab3c7cd459,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_c2e6545389,mem_ab3c7cd459,Cumming School of Medicine,Department of Psychiatry,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Psychiatry",1,both,yes,yes,no
pos_4cd0fd6e11,mem_ab3c7cd459,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_8192f75527,mem_ab3c7cd459,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_c8b9d91694,mem_ab3c7cd459,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,4,both,yes,yes,no
pos_a60e4a4cf4,mem_ab3c7cd459,Child Health & Wellness Researcher,,,,,,Child Health & Wellness Researcher,5,both,yes,yes,no
pos_53defec621,mem_ab3c7cd459,Alberta Children's Hospital Research Institute,,,,,,Alberta Children's Hospital Research Institute,6,both,yes,yes,no
pos_7b3b708fa0,mem_67336e1dbb,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_38106e90b1,mem_67336e1dbb,Cumming School of Medicine,Department of Cell Biology and Anatomy,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Cell Biology and Anatomy",1,both,yes,yes,no
pos_c30c628e9c,mem_67336e1dbb,Interim Department Head,,,,,,Interim Department Head,2,both,yes,yes,no
pos_65b736b46f,mem_67336e1dbb,Full Member,,,,,,Full Member,3,both,yes,yes,no
pos_a85a5ab4db,mem_67336e1dbb,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_f3ef33cbf7,mem_67336e1dbb,Child Health & Wellness Researcher,,,,,,Child Health & Wellness Researcher,5,both,yes,yes,no
pos_67d2374e9d,mem_67336e1dbb,Alberta Children's Hospital Research Institute,,,,,,Alberta Children's Hospital Research Institute,6,both,yes,yes,no
pos_5ba4eb6520,mem_fc88669608,Medical Physicist (MRI),,,,,,Medical Physicist (MRI),0,both,yes,yes,no
pos_d4e143da08,mem_fc88669608,Faculty of Science,Radiation Oncology Physics,Faculty Of Science,,,https://science.ucalgary.ca,"Faculty of Science , Radiation Oncology Physics",1,both,yes,yes,no
pos_64123739a1,mem_fc88669608,Adjunct Assistant Professor,,,,adjunct,,Adjunct Assistant Professor,2,both,yes,yes,no
pos_26454897fe,mem_fc88669608,Faculty of Science,Department of Physics and Astronomy,Faculty Of Science,,,https://science.ucalgary.ca,"Faculty of Science , Department of Physics and Astronomy",3,both,yes,yes,no
pos_9ddb4640ec,mem_fc88669608,Cumming School of Medicine,Department of Oncology,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Oncology",4,both,yes,yes,no
pos_9ecf0a82ba,mem_fc88669608,Member,,,,,,Member,5,both,yes,yes,no
pos_a31cea60d0,mem_fc88669608,Arnie Charbonneau Cancer Institute,,,,,,Arnie Charbonneau Cancer Institute,6,both,yes,yes,no
pos_18659f7876,mem_fc88669608,Associate Member,,,,associate member,,Associate Member,7,both,yes,yes,no
pos_40ec3ca17a,mem_fc88669608,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,8,both,yes,yes,no
pos_6a3bf2360c,mem_fc88669608,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,9,both,yes,yes,no
pos_6023bc74d6,mem_29212b7883,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_288d3c5006,mem_29212b7883,Cumming School of Medicine,,Cumming School Of Medicine,,,,Cumming School of Medicine,1,both,yes,yes,no
pos_d65be4b50a,mem_29212b7883,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_0591c3e395,mem_29212b7883,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_1642166e34,mem_feaca2a8a0,Adjunct Research Assistant Professor,,,,adjunct,,Adjunct Research Assistant Professor,0,both,yes,yes,no
pos_5a27e350cc,mem_feaca2a8a0,Cumming School of Medicine,Department of Clinical Neurosciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Clinical Neurosciences",1,both,yes,yes,no
pos_e34884a4c8,mem_feaca2a8a0,Research Manager,,,,,,Research Manager,2,both,yes,yes,no
pos_506f712e0a,mem_feaca2a8a0,Associate Member,,,,associate member,,Associate Member,3,both,yes,yes,no
pos_ce46c1fafa,mem_feaca2a8a0,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_2dbf1c20ad,mem_8bfbd806c9,Clinical Assistant Professor,,,,,,Clinical Assistant Professor,0,both,yes,yes,no
pos_891942b3fb,mem_8bfbd806c9,Cumming School of Medicine,Department of Medical Genetics,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Medical Genetics",1,both,yes,yes,no
pos_cec7f456f8,mem_8bfbd806c9,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_d4877f84d7,mem_8bfbd806c9,Alberta Children's Hospital Research Institute,,,,,,Alberta Children's Hospital Research Institute,3,both,yes,yes,no
pos_d0b0e29f8e,mem_8bfbd806c9,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_80eeda012f,mem_db95c2910e,Full Professor,,,,,,Full Professor,0,both,yes,yes,no
pos_4f80be12ec,mem_db95c2910e,Schulich School of Engineering,Department of Biomedical Engineering,Schulich School Of Engineering,,,https://schulich.ucalgary.ca/biomedical,"Schulich School of Engineering, Department of Biomedical Engineering",1,both,yes,yes,no
pos_0ed7d6b14f,mem_db95c2910e,Schulich School of Engineering,Department of Mechanical and Manufacturing Engineering,Schulich School Of Engineering,,,https://schulich.ucalgary.ca/mechanical-manufacturing,"Schulich School of Engineering, Department of Mechanical and Manufacturing Engineering",2,both,yes,yes,no
pos_cfd145a332,mem_db95c2910e,Full Member,,,,,,Full Member,3,both,yes,yes,no
pos_c4dea3be18,mem_db95c2910e,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_035783df1d,mem_db95c2910e,Associate Member,,,,associate member,,Associate Member,5,both,yes,yes,no
pos_be7538016e,mem_db95c2910e,The Calvin,Phoebe and Joan Snyder Institute for Chronic Diseases,,,,,"The Calvin, Phoebe and Joan Snyder Institute for Chronic Diseases",6,both,yes,yes,no
pos_019ddbfc24,mem_db95c2910e,Member,,,,,,Member,7,both,yes,yes,no
pos_014948c3c9,mem_db95c2910e,Arnie Charbonneau Cancer Institute,,,,,,Arnie Charbonneau Cancer Institute,8,both,yes,yes,no
pos_9099ab9704,mem_d4ec51610b,Assistant Professor,,,,,,Assistant Professor,0,both,yes,yes,no
pos_69c9498233,mem_d4ec51610b,Faculty of Arts,Department of Psychology,Faculty Of Arts,,,https://arts.ucalgary.ca/,"Faculty of Arts , Department of Psychology",1,both,yes,yes,no
pos_4a1fad2bf9,mem_d4ec51610b,Child Health & Wellness Researcher,,,,,,Child Health & Wellness Researcher,2,both,yes,yes,no
pos_0f75b8dfe1,mem_d4ec51610b,Alberta Children's Hospital Research Institute,Owerko Centre,,,,,"Alberta Children's Hospital Research Institute, Owerko Centre",3,both,yes,yes,no
pos_1a7d580abe,mem_d4ec51610b,Full Member,,,,,,Full Member,4,both,yes,yes,no
pos_ac78b6f046,mem_d4ec51610b,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,5,both,yes,yes,no
pos_8cddff1d24,mem_d4ec51610b,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,6,both,yes,yes,no
pos_487c8d5884,mem_d4ec51610b,O'Brien Institute for Public Health,,,,,,O'Brien Institute for Public Health,7,both,yes,yes,no
pos_5e30000e1d,mem_d2301d7aac,Professor (Teaching & Research) - Anatomic and Clinical Pathology,,,,,,Professor (Teaching & Research) - Anatomic and Clinical Pathology,0,both,yes,yes,no
pos_f3ecdb5bb9,mem_d2301d7aac,Faculty of Veterinary Medicine,Fulltime,Faculty Of Veterinary Medicine,,,,"Faculty of Veterinary Medicine, Fulltime",1,both,yes,yes,no
pos_aab081be0d,mem_f731c39857,Assistant Professor,,,,,,Assistant Professor,0,both,yes,yes,no
pos_7290743d87,mem_f731c39857,Cumming School of Medicine,Department of Pathology and Laboratory Medicine,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Pathology and Laboratory Medicine",1,both,yes,yes,no
pos_1c8ee88ed9,mem_f731c39857,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_0f2899c616,mem_f731c39857,Arnie Charbonneau Cancer Institute,,,,,,Arnie Charbonneau Cancer Institute,3,both,yes,yes,no
pos_521c5a31c9,mem_f731c39857,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_711036eb96,mem_ccdb9fb0c5,Professor,,,,,,Professor,0,both,yes,yes,no
pos_122ed4a4c9,mem_ccdb9fb0c5,Faculty of Arts,Department of Psychology,Faculty Of Arts,,,https://arts.ucalgary.ca/,"Faculty of Arts , Department of Psychology",1,both,yes,yes,no
pos_8df959cd5c,mem_ccdb9fb0c5,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_9f219e94c6,mem_ccdb9fb0c5,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_d6d890b559,mem_ccdb9fb0c5,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,4,both,yes,yes,no
pos_f3a63e0919,mem_61c2300e70,Medical Director Give Life Alberta and SAOTDP Southern Alberta SEND Lead,,,,,,Medical Director Give Life Alberta and SAOTDP Southern Alberta SEND Lead,0,both,yes,yes,no
pos_572897087d,mem_61c2300e70,Alberta Health Services,,,,,,Alberta Health Services,1,both,yes,yes,no
pos_d6f8d4e359,mem_61c2300e70,Neurointensivist,,,,,,Neurointensivist,2,both,yes,yes,no
pos_cb8f1752bc,mem_61c2300e70,Clinical Professor,,,,,,Clinical Professor,3,both,yes,yes,no
pos_34f0b895ae,mem_61c2300e70,Cumming School of Medicine,,Cumming School Of Medicine,,,,Cumming School of Medicine,4,both,yes,yes,no
pos_0afeaeeee9,mem_61c2300e70,Full Member,,,,,,Full Member,5,both,yes,yes,no
pos_21dd873eae,mem_61c2300e70,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,6,both,yes,yes,no
pos_aa67cd8aeb,mem_126bc39f5f,Adjunct Professor,,,,adjunct,,Adjunct Professor,0,both,yes,yes,no
pos_27bb65818c,mem_126bc39f5f,Cumming School of Medicine,Department of Biochemistry and Molecular Biology,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Biochemistry and Molecular Biology",1,both,yes,yes,no
pos_38e7469eae,mem_126bc39f5f,Associate Member,,,,associate member,,Associate Member,2,both,yes,yes,no
pos_6a959106e7,mem_126bc39f5f,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_0ac855ad12,mem_126bc39f5f,Member,,,,,,Member,4,both,yes,yes,no
pos_30eceab28d,mem_126bc39f5f,O'Brien Institute for Public Health,,,,,,O'Brien Institute for Public Health,5,both,yes,yes,no
pos_6a0a8b4cde,mem_418a89fdc0,Full Professor,,,,,,Full Professor,0,both,yes,yes,no
pos_b4e5f5a75f,mem_418a89fdc0,Cumming School of Medicine,Department of Physiology and Pharmacology,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Physiology and Pharmacology",1,both,yes,yes,no
pos_5ef2da6c6c,mem_418a89fdc0,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_a314b813b7,mem_418a89fdc0,Libin Cardiovascular Institute,,,,,,Libin Cardiovascular Institute,3,both,yes,yes,no
pos_143c34bfc0,mem_418a89fdc0,Associate Member,,,,associate member,,Associate Member,4,both,yes,yes,no
pos_3cb1e0d38a,mem_418a89fdc0,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,5,both,yes,yes,no
pos_6444be2538,mem_418a89fdc0,The Calvin,Phoebe and Joan Snyder Institute for Chronic Diseases,,,,,"The Calvin, Phoebe and Joan Snyder Institute for Chronic Diseases",6,both,yes,yes,no
pos_0aa822db47,mem_418a89fdc0,Member,,,,,,Member,7,both,yes,yes,no
pos_c8037ec7ab,mem_0f73a389b6,Full Member,,,,,,Full Member,0,both,yes,yes,no
pos_7613fb7791,mem_0f73a389b6,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,1,both,yes,yes,no
pos_5ef522912d,mem_945a42f165,Professor - Medicine,,,,,,Professor - Medicine,0,both,yes,yes,no
pos_e25ea6ec7c,mem_945a42f165,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,1,both,yes,yes,no
pos_4e0f97f473,mem_945a42f165,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_b9d0e2522d,mem_945a42f165,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,3,both,yes,yes,no
pos_6105aa0361,mem_945a42f165,Cumming School of Medicine,Department of Community Health Sciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Community Health Sciences",4,both,yes,yes,no
pos_b152d7d265,mem_41979986b6,Adjunct Professor,,,,adjunct,,Adjunct Professor,0,both,yes,yes,no
pos_ac5ff48bcf,mem_41979986b6,Faculty of Arts,Department of Psychology,Faculty Of Arts,,,https://arts.ucalgary.ca/,"Faculty of Arts , Department of Psychology",1,both,yes,yes,no
pos_b1ed7414f6,mem_41979986b6,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_edfdeca78e,mem_41979986b6,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_595501819a,mem_cdf4fbee8b,Executive Director,Office of Institutional Commitments,,,,,"Executive Director, Office of Institutional Commitments",0,both,yes,yes,no
pos_f2bb5efde7,mem_cdf4fbee8b,Office of the Provost,,,,,,Office of the Provost,1,both,yes,yes,no
pos_49d7ef9091,mem_cdf4fbee8b,Professor,,,,,,Professor,2,both,yes,yes,no
pos_5fe25e4d5a,mem_cdf4fbee8b,Faculty of Arts,Department of Psychology,Faculty Of Arts,,,https://arts.ucalgary.ca/,"Faculty of Arts , Department of Psychology",3,both,yes,yes,no
pos_cf074393ef,mem_cdf4fbee8b,Full Member,,,,,,Full Member,4,both,yes,yes,no
pos_b336b49a6c,mem_cdf4fbee8b,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,5,both,yes,yes,no
pos_9659f3ce41,mem_4d14f5ed5f,Neuropsychologist,,,,,,Neuropsychologist,0,both,yes,yes,no
pos_c07eaddf1a,mem_4d14f5ed5f,Alberta Health Services,,,,,,Alberta Health Services,1,both,yes,yes,no
pos_d96c997e2c,mem_4d14f5ed5f,Associate Member,,,,associate member,,Associate Member,2,both,yes,yes,no
pos_77124d5c45,mem_4d14f5ed5f,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_fd95549c7b,mem_3e0ef14a60,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_f4c6e677d7,mem_3e0ef14a60,Faculty of Social Work,Calgary Campus,Faculty Of Social Work,,,,"Faculty of Social Work, Calgary Campus",1,both,yes,yes,no
pos_188acad706,mem_3e0ef14a60,Wood's Homes Research Chair in Children's Mental Health,,,,,,Wood's Homes Research Chair in Children's Mental Health,2,both,yes,yes,no
pos_6265d7e57e,mem_e7de00f126,Professor Emerita of Kinesiology,,,,,,Professor Emerita of Kinesiology,0,both,yes,yes,no
pos_7a9eaf90cb,mem_e7de00f126,Faculty of Kinesiology,,Faculty Of Kinesiology,,,,Faculty of Kinesiology,1,both,yes,yes,no
pos_8c156e664d,mem_e7de00f126,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_1787572d52,mem_e7de00f126,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_96fddb76a1,mem_4fab7d2841,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_8ee95bfd15,mem_4fab7d2841,Cumming School of Medicine,Department of Physiology and Pharmacology,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Physiology and Pharmacology",1,both,yes,yes,no
pos_61bfd7c69c,mem_4fab7d2841,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_19c23da024,mem_4fab7d2841,The Calvin,Phoebe and Joan Snyder Institute for Chronic Diseases,,,,,"The Calvin, Phoebe and Joan Snyder Institute for Chronic Diseases",3,both,yes,yes,no
pos_195831a317,mem_4fab7d2841,McCaig Institute for Bone and Joint Health,,,,,,McCaig Institute for Bone and Joint Health,4,both,yes,yes,no
pos_db8b0f3704,mem_4fab7d2841,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,5,both,yes,yes,no
pos_b9c7d6cf24,mem_0aa82264fe,Assistant Professor,,,,,,Assistant Professor,0,both,yes,yes,no
pos_78819d91ef,mem_0aa82264fe,Cumming School of Medicine,Department of Psychiatry,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Psychiatry",1,both,yes,yes,no
pos_a7cabe2c42,mem_0aa82264fe,Canada Research Chair (Tier II),,,,,,Canada Research Chair (Tier II),2,both,yes,yes,no
pos_81b73df599,mem_0aa82264fe,University of Calgary,,,,,,University of Calgary,3,both,yes,yes,no
pos_e2cd5c2acc,mem_0aa82264fe,Residency Research Director,,,,,,Residency Research Director,4,both,yes,yes,no
pos_a0c61cc68c,mem_51d0744557,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_4eeda360f5,mem_51d0744557,Cumming School of Medicine,Department of Clinical Neurosciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Clinical Neurosciences",1,both,yes,yes,no
pos_fb18953cb0,mem_51d0744557,Cumming School of Medicine,Department of Community Health Sciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Community Health Sciences",2,both,yes,yes,no
pos_3e45363059,mem_51d0744557,Cumming School of Medicine,Department of Radiology,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Radiology",3,both,yes,yes,no
pos_7f38965f8d,mem_51d0744557,Full Member,,,,,,Full Member,4,both,yes,yes,no
pos_e035305cb4,mem_51d0744557,Hotchkiss Brain Institute,Brain and Mental Health Research Clinics Initiative,,,,,"Hotchkiss Brain Institute, Brain and Mental Health Research Clinics Initiative",5,both,yes,yes,no
pos_91241bd0fa,mem_51d0744557,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,6,both,yes,yes,no
pos_0199eb64de,mem_51d0744557,O'Brien Institute for Public Health,,,,,,O'Brien Institute for Public Health,7,both,yes,yes,no
pos_0c6bb7f830,mem_5484cb96e1,Professor Emeritus,,,,emeritus,,Professor Emeritus,0,both,yes,yes,no
pos_5cdf3bc482,mem_5484cb96e1,Faculty of Science,Department of Chemistry,Faculty Of Science,,,https://science.ucalgary.ca,"Faculty of Science , Department of Chemistry",1,both,yes,yes,no
pos_dcc416191a,mem_5484cb96e1,Associate Member,,,,associate member,,Associate Member,2,both,yes,yes,no
pos_9ca3ca9706,mem_5484cb96e1,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_452fbaf9d2,mem_233f37a4ef,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_2cc04f0227,mem_233f37a4ef,Cumming School of Medicine,Department of Radiology | Image Science,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Radiology | Image Science",1,both,yes,yes,no
pos_9149209f88,mem_233f37a4ef,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_0725e2b6ad,mem_233f37a4ef,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_368501d09a,mem_233f37a4ef,Alberta Children's Hospital Research Institute,Owerko Centre,,,,,"Alberta Children's Hospital Research Institute, Owerko Centre",4,both,yes,yes,no
pos_3fa59b9b6d,mem_6afc7989eb,Associate Member,,,,associate member,,Associate Member,0,both,yes,yes,no
pos_eec7a510b4,mem_6afc7989eb,Hotchkiss Brain Institute,Mathison Centre for Mental Health Research and Education,,,,,"Hotchkiss Brain Institute, Mathison Centre for Mental Health Research and Education",1,both,yes,yes,no
pos_377b76a2b8,mem_e7440b475b,Professor,,,,,,Professor,0,both,yes,yes,no
