education_id,member_id,degree,institution,field_of_study,year,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
edu_b44736f13d,mem_41979986b6,PhD,University of Calgary,PhD Clinical Psychology,2020,"PhD Clinical Psychology, University of Calgary, 2020",0,both,yes,yes,no
edu_e4b93a55b5,mem_41979986b6,MA,Carleton University,MA Experimental Psychology,2014,"MA Experimental Psychology, Carleton University, 2014",1,both,yes,yes,no
edu_f4d84a5a6d,mem_41979986b6,,Durham College,,2011,"Post Graduate Certificate Addictions and Mental Health, Durham College, 2011",2,both,yes,yes,no
edu_31adf3f4f1,mem_41979986b6,BA,York University,BA Honours Psychology,2008,"BA Honours Psychology, York University, 2008",3,both,yes,yes,no
edu_75cb725099,mem_cdf4fbee8b,B.A,University of Alberta,B.A. Psychology,2000,"B.A. Psychology, University of Alberta, 2000",0,both,yes,yes,no
edu_94fbe5046b,mem_cdf4fbee8b,Doctor of Philosophy,University of Western Ontario,Doctor of Philosophy Psychology,2010,"Doctor of Philosophy Psychology, University of Western Ontario, 2010",1,both,yes,yes,no
edu_a115d968be,mem_cdf4fbee8b,M.A,University of Western Ontario,M.A. Psychology,2005,"M.A. Psychology, University of Western Ontario, 2005",2,both,yes,yes,no
edu_b5423c835d,mem_4d14f5ed5f,,University of Calgary,,1994,"B.S. Psychology, University of Calgary, 1994",0,both,yes,yes,no
edu_72189bc61d,mem_4d14f5ed5f,Doctor of Philosophy,University of Western Ontario,Doctor of Philosophy Neuropsychology,2002,"Doctor of Philosophy Neuropsychology, University of Western Ontario, 2002",1,both,yes,yes,no
edu_ead69b6cd3,mem_4d14f5ed5f,M.A,University of Western Ontario,M.A. Neuropsychology,1996,"M.A. Neuropsychology, University of Western Ontario, 1996",2,both,yes,yes,no
edu_2b6e9a78a4,mem_3e0ef14a60,Doctor of Philosophy,University of Toronto,Doctor of Philosophy Social Work,2011,"Doctor of Philosophy Social Work, University of Toronto, 2011",0,both,yes,yes,no
edu_c67ab62b84,mem_3e0ef14a60,,Wilfrid Laurier University,,1998,"Master of Social Work Social Work, Wilfrid Laurier University, 1998",1,both,yes,yes,no
edu_bfe636732b,mem_3e0ef14a60,Bachelor of Arts,University of Guelph,Bachelor of Arts Psychology Co-op Program with Family and Social Relations Minor,1995,"Bachelor of Arts Psychology Co-op Program with Family and Social Relations Minor, University of Guelph, 1995",2,both,yes,yes,no
edu_7f2ab9e129,mem_e7de00f126,Master of Arts,Wesleyan University,Master of Arts Liberal Studies Movement Studies,1986,"Master of Arts Liberal Studies Movement Studies, Wesleyan University, 1986",0,both,yes,yes,no
edu_189e7835e5,mem_e7de00f126,Bachelor of Arts,State University of New York,Bachelor of Arts Dance,1977,"Bachelor of Arts Dance, State University of New York, Brockport, 1977",1,both,yes,yes,no
edu_8b49e96674,mem_4fab7d2841,B.A,,B.A. Chemistry,2005,"B.A. Chemistry, State U of New York at Oswego, 2005",0,both,yes,yes,no
edu_1a003a97db,mem_4fab7d2841,Doctor of Philosophy,Stony Brook University,Doctor of Philosophy Chemistry Chemical Biology,2010,"Doctor of Philosophy Chemistry Chemical Biology, Stony Brook University, 2010",1,both,yes,yes,no
edu_51d4a96b72,mem_0aa82264fe,Doctor of Philosophy,PhD Institute of Medical Sciences,University of Toronto,,"Doctor of Philosophy, PhD Institute of Medical Sciences, University of Toronto,",0,both,yes,yes,no
edu_4f5f1306df,mem_0aa82264fe,,MBBS Newcastle University,,,"Bachelor of Medicine, Bachelor of Surgery, MBBS Newcastle University,",1,both,yes,yes,no
edu_7d89310472,mem_0aa82264fe,,,,,"Sport Medicine Diploma International Olympic Committee,",2,both,yes,yes,no
edu_6bd08e2286,mem_51d0744557,MD,Dr. Aravind Ganesh is a Vascular and Cognitive Neurologist. He completed his MD degree at the University of Calgary,followed by a DPhil in Clinical Neurosciences at the University of Oxford’s Centre for Prevention of Stroke and Dementia as a Rhodes scholar. He earned an Associate Fellowship from the United Kingdom’s Higher Education Academy through his teaching contributions at St John’s College (Oxford). He completed his neurology residency in Calgary,,"Dr. Aravind Ganesh is a Vascular and Cognitive Neurologist. He completed his MD degree at the University of Calgary, followed by a DPhil in Clinical Neurosciences at the University of Oxford’s Centre for Prevention of Stroke and Dementia as a Rhodes scholar. He earned an Associate Fellowship from the United Kingdom’s Higher Education Academy through his teaching contributions at St John’s College (Oxford). He completed his neurology residency in Calgary, followed by a combined fellowship in stroke and cognitive neurology, funded by Alberta Innovates and the Canadian Institutes of Health Research.",0,both,yes,yes,no
edu_00e7b599d9,mem_51d0744557,,,,,"Dr. Ganesh is a Fellow of the Canadian Stroke Consortium, and is actively involved in the development of best-practice guidelines for stroke and dementia care. His clinical research is focused on the natural history, prevention, and treatment of stroke and cognitive impairment, including behavioural and neuropsychiatric sequelae. He is passionate about medical education, and serves on the editorial boards of Neurology, Neurology: Clinical Practice, and Stroke.",1,both,yes,yes,no
edu_ed7414c244,mem_233f37a4ef,,Dalhousie University,,2003,"Bach of Eng Bioengineering, Dalhousie University, 2003",0,both,yes,yes,no
edu_db3592dd95,mem_233f37a4ef,,Dalhousie University,,2004,"B.S. Biology, Dalhousie University, 2004",1,both,yes,yes,no
edu_14d056fcdc,mem_233f37a4ef,Doctor of Philosophy,University of Calgary,,2008,"Doctor of Philosophy , University of Calgary, 2008",2,both,yes,yes,no
edu_3f2a82e0ba,mem_6afc7989eb,BSc,University of Ottawa,BSc Honours Psychology,2015,"BSc Honours Psychology, University of Ottawa, 2015",0,both,yes,yes,no
edu_3314a2c6f0,mem_6afc7989eb,PhD,University of Ottawa,PhD Psychology,2021,"PhD Psychology, University of Ottawa, 2021",1,both,yes,yes,no
edu_f1d8d90357,mem_6afc7989eb,,University of Calgary,,2023,"Postdoctoral Fellowship Psychology, University of Calgary, 2023",2,both,yes,yes,no
edu_ad24451327,mem_e7440b475b,,University of Saskatchewan,,1983,"B.S. Biological Sciences, University of Saskatchewan, 1983",0,both,yes,yes,no
edu_29c6ff325c,mem_e7440b475b,,University of Saskatchewan,,1987,"Doctor of Medicine, University of Saskatchewan, 1987",1,both,yes,yes,no
edu_9266674014,mem_e7440b475b,,,,1993,"FRCPC, Psychiatry, 1993",2,both,yes,yes,no
edu_b4f5525b8a,mem_9e9c87242a,,Radiology and Community Health Sciences at the University of Calgary. He leads an internationally recognized research program that is pushing the boundaries of modern stroke care by using advanced image processing techniques,,2014,"Bijoy Menon is a Neurologist and a Professor in the Departments of Neurosciences, Radiology and Community Health Sciences at the University of Calgary. He leads an internationally recognized research program that is pushing the boundaries of modern stroke care by using advanced image processing techniques, statistical and clinical trial methodologies and Artificial Intelligence based algorithms to develop cutting edge imaging tools and better treatment for people suffering from acute stroke. He is a member of the Royal Society of Canada's College of New Scholars, Artists and Scientists and recipient of the Michael S. Pessin Stroke Leadership award from the American Academy of Neurology, the Avenue Magazine Top 40 under 40 award (2014), a CIHR New Investigator Award (2015-2020), a University of Calgary/Heart and Stroke Professorship in Stroke Imaging (2014-2020) and the 2015 University of Calgary PEAK Scholarship in Entrepreneurship Innovation & Knowledge Translation. He is founder and Chief Medical Officer for Circle NVI Inc, a University of Calgary spin-off company that is developing cutting edge imaging and communication solutions for use in acute stroke.",0,both,yes,yes,no
edu_5b9ea4523e,mem_601dd6a6ac,,Shanghai Nat. Def. Med College,,1983,"Doctor of Medicine Medicine, Shanghai Nat. Def. Med College, 1983",0,both,yes,yes,no
edu_58e9d7ba2c,mem_601dd6a6ac,Doctor of Philosophy,Laval University,Doctor of Philosophy Neurobiology,1989,"Doctor of Philosophy Neurobiology, Laval University, 1989",1,both,yes,yes,no
edu_8a53b8b5ad,mem_6da65fe265,Doctor of Philosophy,Polish Academy of Sciences,Doctor of Philosophy Physics,1995,"Doctor of Philosophy Physics, Polish Academy of Sciences, Poland, 1995",0,both,yes,yes,no
edu_e0f9f80f17,mem_126415dca2,BSc,Memorial University of Newfoundland,BSc Physics (Honours),1993,"BSc Physics (Honours), Memorial University of Newfoundland, 1993",0,both,yes,yes,no
edu_d13f6fc6f8,mem_126415dca2,PhD,Western University,PhD Medical Biophysics,1999,"PhD Medical Biophysics, Western University, 1999",1,both,yes,yes,no
edu_8be9b049b1,mem_126415dca2,MSc,University of Waterloo,MSc. Condensed Matter Physics,1995,"MSc. Condensed Matter Physics, University of Waterloo, 1995",2,both,yes,yes,no
edu_8abd64d2fe,mem_6dce23a68b,B.A,McGill University,B.A. Psychology Major,2007,"B.A. Psychology Major, McGill University, 2007",0,both,yes,yes,no
edu_e198d4134f,mem_6dce23a68b,Ph.D,,Ph.D. Clinical Psychology,2014,"Ph.D. Clinical Psychology, Université Laval, 2014",1,both,yes,yes,no
edu_a5f60e0084,mem_0ba6f2386f,,University of Lethbridge,,1999,"B.S. Psychology, University of Lethbridge, 1999",0,both,yes,yes,no
edu_2502336f14,mem_0ba6f2386f,Doctor of Philosophy,University of Calgary,Doctor of Philosophy Clinical Psychology,2005,"Doctor of Philosophy Clinical Psychology, University of Calgary, 2005",1,both,yes,yes,no
edu_cc2f076be2,mem_0ba6f2386f,,University of Calgary,,2001,"M.S. Clinical Psychology, University of Calgary, 2001",2,both,yes,yes,no
edu_b70f193819,mem_1ae867ffe5,PhD,University of Calgary,PhD Strategy and Global Management,2012,"PhD Strategy and Global Management, beta gamma sigma, University of Calgary, 2012",0,both,yes,yes,no
edu_b1912764da,mem_1ae867ffe5,,University of Regina,,1997,"BEd Arts Education, with distinction, University of Regina, 1997",1,both,yes,yes,no
edu_8c5e04c3b4,mem_7a1797f182,,University of Calgary,,1999,"B.S. Cell, Molec. & Microbial Biolo, University of Calgary, 1999",0,both,yes,yes,no
edu_bafcd0f77e,mem_7a1797f182,,University of Calgary,,2005,"Doctor of Medicine Medicine, University of Calgary, 2005",1,both,yes,yes,no
edu_91af201898,mem_7a1797f182,,,,2005,"M.S. Immunology, , 2005",2,both,yes,yes,no
edu_beade65648,mem_df3ac5151d,M.D,,M.D. Medicine,2005,"M.D. Medicine, Escola Superior de Ciencias da Santa Casa, 2005",0,both,yes,yes,no
edu_cb5fb7a07e,mem_df3ac5151d,,McMaster University,,2020,"M.S. Health Research Methods, Clinical Epidemiology, McMaster University, 2020",1,both,yes,yes,no
edu_93d1061523,mem_df3ac5151d,,Federal University of Sao Paulo,,2012,"M.S. Neurosciences, Federal University of Sao Paulo, 2012",2,both,yes,yes,no
edu_a86e3dcc8e,mem_df3ac5151d,Ph.D,Federal University of Sao Paulo,Ph.D. Neurosciences,2019,"Ph.D. Neurosciences, Federal University of Sao Paulo, 2019",3,both,yes,yes,no
edu_718286b3b2,mem_92c2e98ac3,,Doctor of Medicine University of Alberta,,,"Doctor of Medicine University of Alberta,",0,both,yes,yes,no
edu_cd627f657c,mem_de66826bad,PhD,York University,PhD Clinical-Developmental Psychology,2015,"PhD Clinical-Developmental Psychology, York University, 2015",0,both,yes,yes,no
edu_c23971ffb7,mem_de66826bad,Master of Arts,York University,Master of Arts Clinical-Developmental Psychology,2009,"Master of Arts Clinical-Developmental Psychology, York University, 2009",1,both,yes,yes,no
edu_e51bda70ad,mem_de66826bad,,The University of Calgary,,2006,"Bahcelor's of Arts, Honours Psychology, The University of Calgary, 2006",2,both,yes,yes,no
edu_5c0ca601c3,mem_3dd7b96dcd,,University of Alberta,,1987,"B.S. Microbiology, University of Alberta, 1987",0,both,yes,yes,no
edu_449b7ec096,mem_3dd7b96dcd,,University of Alberta,,1986,"B.S. Psychology, University of Alberta, 1986",1,both,yes,yes,no
edu_eaaa654fc4,mem_3dd7b96dcd,Doctor of Philosophy,University of Toronto,Doctor of Philosophy Genetics,1995,"Doctor of Philosophy Genetics, University of Toronto, 1995",2,both,yes,yes,no
edu_92879a90df,mem_3dd7b96dcd,,University of Alberta,,1990,"M.S. Microbiology, University of Alberta, 1990",3,both,yes,yes,no
edu_82ef5bd1db,mem_405555556d,PhD,University of Alberta,PhD Epidemiology,2004,"PhD Epidemiology, University of Alberta, 2004",0,both,yes,yes,no
edu_ccc786887f,mem_405555556d,MSc,The University of Calgary,MSc Epidemiology,1999,"MSc Epidemiology, The University of Calgary, 1999",1,both,yes,yes,no
edu_5821b48323,mem_405555556d,,Queen's University at Kingston,,1988,"BScPT Honors Physiotherapy, Queen's University at Kingston, 1988",2,both,yes,yes,no
edu_3f55bfb507,mem_5f8c42fffa,B.Sc,University of Western Ontario,B.Sc. Medical Biophysics,2004,"B.Sc. Medical Biophysics, University of Western Ontario, 2004",0,both,yes,yes,no
edu_567685940b,mem_5f8c42fffa,Doctor of Philosophy,University of Alberta,Doctor of Philosophy Medical Sciences,2010,"Doctor of Philosophy Medical Sciences, University of Alberta, 2010",1,both,yes,yes,no
edu_b744029a9a,mem_d21327a3f5,BSc,University of Wisconsin-La Crosse,BSc. Community Health Education,2000,"BSc. Community Health Education, University of Wisconsin-La Crosse, 2000",0,both,yes,yes,no
edu_5fa9866e22,mem_d21327a3f5,BSc,University of Wisconsin-La Crosse,BSc. Sociology,2000,"BSc. Sociology, University of Wisconsin-La Crosse, 2000",1,both,yes,yes,no
edu_0417dd5f8b,mem_d21327a3f5,,San Diego State University,,2003,"MPH Health Promotion, San Diego State University, 2003",2,both,yes,yes,no
edu_49eacbf325,mem_d21327a3f5,PhD,University of California,PhD Public Health,2009,"PhD Public Health, emphasis Genetic Epidemiology, University of California, San Diego, 2009",3,both,yes,yes,no
edu_5ff8d41746,mem_d21327a3f5,,University of Melbourne,,2010,"Post Doc Pharmacogenetics, University of Melbourne , 2010",4,both,yes,yes,no
edu_e4c492d3d2,mem_2fc1b1d132,B.A,University of Cambridge,B.A.,1990,"B.A. , University of Cambridge, 1990",0,both,yes,yes,no
edu_5cc5ed4cef,mem_2fc1b1d132,,University of Cambridge,,1992,"Doctor of Medicine Medicine, University of Cambridge, 1992",1,both,yes,yes,no
edu_3dbafe0c72,mem_f68a60fd9c,Ph.D,University of Montpellier,Ph.D. Neurobiology,2002,"Ph.D. Neurobiology, University of Montpellier, 2002",0,both,yes,yes,no
edu_9849f067cd,mem_f68a60fd9c,M.Sc,University of Montpellier,M.Sc. Neurobiology,1999,"M.Sc. Neurobiology, University of Montpellier, 1999",1,both,yes,yes,no
edu_50a6fbedba,mem_f68a60fd9c,M.Sc,University of Montpellier,M.Sc. Physiology,1997,"M.Sc. Physiology, University of Montpellier, 1997",2,both,yes,yes,no
edu_a8549786c7,mem_78b75777c4,,Queen's University,,1994,"BScHons Life Sciences, Queen's University, 1994",0,both,yes,yes,no
edu_0b0b5af201,mem_78b75777c4,MD,Queen's University,MD Medicine,2000,"MD Medicine, Queen's University, 2000",1,both,yes,yes,no
edu_68309c1488,mem_78b75777c4,MSc,University of Calgary,MSc Pharmacology,1996,"MSc Pharmacology, University of Calgary, 1996",2,both,yes,yes,no
edu_c56be5aefb,mem_78b75777c4,,University of Calgary,,2005,"FRCPC Pediatric Neurology, University of Calgary, 2005",3,both,yes,yes,no
edu_70d6dc3dee,mem_c2f73113e5,Doctor of Philosophy,University of Western Ontario,Doctor of Philosophy - Psychology,1996,"Doctor of Philosophy - Psychology, University of Western Ontario, 1996",0,both,yes,yes,no
edu_3edbabaafe,mem_c2f73113e5,M.A,University of Western Ontario,M.A. - Psychology,1991,"M.A. - Psychology, University of Western Ontario, 1991",1,both,yes,yes,no
edu_83ad76c2d3,mem_c2f73113e5,B.A,University of New Brunswick,B.A. (Hons) - Psychology,1989,"B.A. (Hons) - Psychology, University of New Brunswick, 1989",2,both,yes,yes,no
edu_63fa02b77c,mem_75b070759e,PhD,Vienna University,PhD Physics,2000,"PhD Physics, Vienna University, 2000",0,both,yes,yes,no
edu_344e0dc1e5,mem_75b070759e,MSc,,MSc Theoretical Physics,1997,"MSc Theoretical Physics, École Normale Supérieure, 1997",1,both,yes,yes,no
edu_c65f257114,mem_e6ae3b7b4c,BSc,BSc Veterinary Science Henan Agricultural University,,2010,"BSc Veterinary Science Henan Agricultural University, 2010",0,both,yes,yes,no
edu_a2f2ac8ee1,mem_e6ae3b7b4c,MSc,MSc Veterinary Medicine Henan Agricultural University,,2012,"MSc Veterinary Medicine Henan Agricultural University, 2012",1,both,yes,yes,no
edu_7c9deaf795,mem_e6ae3b7b4c,PhD,PhD Animal Science/Gut Microbiology Nanjing Agricultural University,,2016,"PhD Animal Science/Gut Microbiology Nanjing Agricultural University, 2016",2,both,yes,yes,no
edu_c4a57b7971,mem_e6ae3b7b4c,,Nanjing Agricultural University,,2017,"Postdoctoral Fellow Gut Microbiology, Nanjing Agricultural University, 2017",3,both,yes,yes,no
edu_5ac47a35c7,mem_e6ae3b7b4c,,University of Calgary,,2023,"Postdoctoral Fellow Microbiome in Neurodevelopmental Disorders, University of Calgary, 2023",4,both,yes,yes,no
edu_7d6a38c1f5,mem_c6790bf1f8,PhD,University of British Columbia,PhD Behavioural Neuroscience,,"PhD Behavioural Neuroscience, University of British Columbia,",0,both,yes,yes,no
edu_b0e50c06fe,mem_c6790bf1f8,MA,University of British Columbia,MA Behavioural Neuroscience,,"MA Behavioural Neuroscience, University of British Columbia,",1,both,yes,yes,no
edu_3cdecbc977,mem_c6790bf1f8,BSc,University of Victoria,BSc Honours Psychology,,"BSc Honours Psychology, University of Victoria,",2,both,yes,yes,no
edu_0a7097720d,mem_28a1b9d70f,,University of Alberta,,1985,"B.S. Microbiology, University of Alberta, 1985",0,both,yes,yes,no
edu_8892cea77c,mem_28a1b9d70f,,University of Alberta,,2000,"Doctor of Medicine Medicine, University of Alberta, 2000",1,both,yes,yes,no
